화면ID,영역,화면명,경로,담는 기능ID,우선순위,제작일,상태
AD-14,관리자,분반 관리,/v2/admin/classes.html,LXP-054 LXP-055 LXP-056,P1,D4,
AD-15,관리자,출결부,/v2/admin/attendance.html,LXP-136~139 LXP-146~149,P0,D4,
AD-16,관리자,이수 관리,/v2/admin/completion.html,LXP-080~082 LXP-102~104,P1,D4,
AD-17,관리자,이수증 편집기,/v2/admin/certificate-editor.html,LXP-083 LXP-105,P1,D4,
AD-18,관리자,시험 관리,/v2/admin/exams.html,LXP-002 LXP-024,P0,D4,
AD-19,관리자,문항 은행,/v2/admin/questions.html,LXP-002 LXP-009,P1,D4,
AD-20,관리자,채점(시험·과제),/v2/admin/grading.html,LXP-022~025 LXP-006 LXP-098 LXP-099,P0,D4,
AD-21,관리자,과제 관리,/v2/admin/assignments.html,LXP-098 LXP-100,P1,D4,
AD-22,관리자,시험 감독 모니터링,/v2/admin/proctor.html,LXP-003~005 LXP-015~021,P0,D4,
AD-23,관리자,공지사항 관리,/v2/admin/notices.html,LXP-121~123,P1,D4,
AD-24,관리자,알림 발송,/v2/admin/notifications.html,LXP-043 LXP-044 LXP-122 LXP-123,P1,D4,
AD-25,관리자,리마인더 설정,/v2/admin/reminder.html,LXP-045 LXP-069 LXP-070,P1,D4,
AD-26,관리자,설문 관리,/v2/admin/surveys.html,LXP-036~038,P1,D4,
AD-27,관리자,설문 결과·분석,/v2/admin/survey-results.html,LXP-039 LXP-040 LXP-042,P1,D4,
AD-28,관리자,Q&A 응답,/v2/admin/qna.html,LXP-064 LXP-065,P1,D4,
AD-29,관리자,튜터링 관리,/v2/admin/tutoring.html,LXP-061~063,P1,D4,
AD-30,관리자,과정 마스터 CMS,/v2/admin/cms-courses.html,공통-002 공통-010,P0,D4,
AD-31,관리자,후기 관리 CMS,/v2/admin/cms-reviews.html,공통-003 취업-017 취업-018,P1,D4,
AD-32,관리자,기업·기관 관리 CMS,/v2/admin/cms-partners.html,공통-004 취업-015 비즈-046,P1,D4,
AD-33,관리자,문의 통합 관리,/v2/admin/cms-inquiries.html,공통-007 취업-025 비즈-058 비즈-059,P0,D4,
AD-34,관리자,메뉴·배너·팝업 CMS,/v2/admin/cms-site.html,공통-010 공통-011,P1,D4,
AD-35,관리자,검색·SEO 관리,/v2/admin/cms-seo.html,공통-008 공통-009,P1,D4,
AD-36,관리자,관리자 계정,/v2/admin/admins.html,LXP 권한,P1,D4,
AD-37,관리자,권한 관리(3단계),/v2/admin/roles.html,LXP 권한,P0,D4,
AD-38,관리자,시스템 설정,/v2/admin/settings.html,LXP-082 LXP-104,P1,D4,
AD-39,관리자,감사 로그,/v2/admin/audit-log.html,LXP-137 LXP-139,P1,D4,
AD-40,관리자,오늘 브리핑,/v2/admin/briefing.html,비즈-057 LXP-053,P2,D4,
AD-41,관리자,내 정보,/v2/admin/my-info.html,-,P2,D4,
IX-01,공통,전체 화면 인덱스·211항목 매핑,/v2/_index.html,전체,P0,D5,완료
